"","Alytes_obstetricans","Discoglossus_sardus","Bombina_variegata","Epidalea_calamita","Hyla_arborea","Hyla_meridionalis","Hyla_sarda","Pelobates_cultripes","Pelobates_fuscus","Pelophylax_lessonae","Rana_arvalis","Rana_dalmatina","Rana_pyrenaica","Calotriton_asper","Lissotriton_vulgaris","Salamandra_lanzai","Triturus_cristatus","Triturus_marmoratus","Salamandra_atra","Coronella_austriaca","Hierophis_viridiflavus","Zamenis_longissimus","Algyroides_fitzingeri","Archaeolacerta_bedriagae","Lacerta_bilineata","Podarcis_muralis","Podarcis_tiliguerta","Timon_lepidus","Natrix_maura","Euleptes_europaea","Vipera_aspis","Discoglossus_montalentii","Pelophylax_grafi","Pelophylax_perezi","Speleomantes_strinatii","Euproctus_montanus","Salamandra_corsica","Iberolacerta_aranica","Iberolacerta_aurelioi","Iberolacerta_bonnali","Lacerta_agilis","Vipera_berus","Vipera_seoanei","Vipera_ursinii","Emys_orbicularis","Mauremys_leprosa","Testudo_hermanni","Zootoca_vivipara","Natrix_natrix"
"Rana_arvalis",0.708011950185556,0.648520400701041,0.580734376437988,0.535624674060947,0.483596760616564,0.608765821328422,0.70124637444336,0.614864166448337,0.47875138232543,0.445888162479398,0.038442277134389,0.441987956799576,0.625146021819387,0.781740960126851,0.471511179177249,0.57110095409482,0.542738219574452,0.413543232681128,0.77811810390405,0.733765951405309,0.665124135769511,0.694155682467009,0.621443400253235,0.677740781663535,0.695782766829796,0.622778056129573,0.654088429993095,0.687855253853197,0.652897296566307,0.638248948858185,0.757429891294001,0.73613557744389,0.610265608986022,0.570819427797691,0.711585368207026,0.747249086868916,0.640769023217423,0.514862849030385,0.590110695629558,0.617536018866639,0.62991497353468,0.672702514099136,0.661036265492093,0.625381049637964,0.668600594573043,0.624937277470696,0.694703785790879,0.617816610824573,0.682341826267823
"Rana_dalmatina",0.438991508160491,0.475406288931268,0.446541090191327,0.451949129917905,0.289120866635171,0.433730862983059,0.507648127744548,0.475574703619538,0.402340167624663,0.325449034530893,0.281836014927394,0.0241227967029499,0.348185986275732,0.534586323971263,0.361222328198209,0.457300061480554,0.323325424060359,0.294912533324932,0.465048193708712,0.505986092972459,0.485824348796323,0.520105759640808,0.564476836536574,0.49645165598889,0.500045259432796,0.480386947990945,0.565608583379112,0.512978976068059,0.563998819819631,0.54577561722093,0.550419001844994,0.444344691483419,0.446119588360339,0.428291803937269,0.494046586125201,0.490152428185139,0.43942288464476,0.454618010223866,0.498066184141796,0.502963417540803,0.483688779285856,0.513503260223887,0.428312132161866,0.469422690420881,0.528513254223172,0.455917228906426,0.527707684683874,0.492663388849169,0.510418850721502
"Rana_pyrenaica",0.681143631604509,0.708696999572569,0.656777732907863,0.686595320554194,0.674070551424449,0.725725221939696,0.664580974594082,0.739209153644249,0.71621291453907,0.65452604212042,0.737006291501336,0.559608335613385,0.0179742270106594,0.562636216394728,0.693262095947721,0.432815214402032,0.609413783530843,0.71233534261552,0.589598122837158,0.728326806457886,0.787663760187868,0.749049426276733,0.726945056488004,0.571357988638687,0.742311788608103,0.775946061427526,0.725584116632683,0.772692684050531,0.78782509017734,0.755182078572363,0.722078797950695,0.568369824500473,0.709959970876538,0.689631045096089,0.668232785280098,0.571939087382993,0.398370431374277,0.335810154601942,0.574554972691865,0.555900816987461,0.680319760692676,0.790042061200298,0.345872209483961,0.383755117717982,0.763581417065506,0.836279742630168,0.783767236737281,0.723934173842628,0.758582431749825
"Calotriton_asper",0.510266966485069,0.421561026671386,0.485874229262287,0.625560644973786,0.590858629155613,0.586637139973968,0.602539279549633,0.535245148854943,0.513282254855786,0.531085808449929,0.715741194760003,0.551723619611236,0.312812990766327,0.0386136277157067,0.591920647563238,0.271795885640669,0.478325111359684,0.506741628042703,0.334869497370386,0.510377785361731,0.545021757666578,0.54347493473636,0.496654520583726,0.325621876361406,0.505239492469641,0.573260342856337,0.454733255983004,0.553567028471184,0.575720592414203,0.495541256603092,0.385644565816698,0.331796788171324,0.54032381250023,0.553543510882056,0.408624361889741,0.291614952718644,0.300684495625436,0.337349724228047,0.312606190028895,0.326558662942548,0.537278806055435,0.573196811088011,0.330533495370922,0.334241258172916,0.504500454507129,0.539539325415945,0.53103103758923,0.440748823230991,0.488526548125562
"Lissotriton_vulgaris",0.3953468527945,0.541854905680891,0.502645532172644,0.341331223407822,0.367284560290991,0.43960076159822,0.443467126210713,0.437030812392321,0.344516470004788,0.298524811532589,0.340489556249315,0.336476586153318,0.649585642309348,0.604561523084746,0.0214831617686447,0.616817067541381,0.231393027661521,0.300608728188329,0.489385846031051,0.50980213819048,0.488249981566424,0.480625723878028,0.583968868101888,0.603988556039778,0.554569536622028,0.457153298562149,0.619882538273482,0.516717342863526,0.507030041459841,0.576530506931198,0.582258637111427,0.52014457461408,0.437317650930113,0.428687005956875,0.59750085351392,0.567913044911923,0.58007943264456,0.582878330660734,0.61590405007713,0.641285801206027,0.432554587789646,0.449095860740799,0.704287163299058,0.685828499782465,0.469274545780883,0.39206336562191,0.475746185301162,0.560743164468484,0.487904713083972
"Salamandra_lanzai",0.58466242851807,0.709273468063369,0.627878919044148,0.697125683941721,0.688672937403365,0.738350123154674,0.70151831853509,0.673226515580292,0.62254787953883,0.731748289796788,0.722674507248326,0.654471528752395,0.412168408774882,0.402847206663302,0.697906203269698,0.0557230801827323,0.524770197271169,0.649264955050568,0.411227675447325,0.572548222378918,0.672647297538557,0.690955288532185,0.70326612189679,0.578267970669987,0.645391869514544,0.645177440186051,0.69004925602769,0.643047405293522,0.711711028474745,0.679015877226681,0.524588309240638,0.673104468264823,0.707579946108224,0.732005869732094,0.633386050950479,0.550526779664524,0.41077737057732,0.261392839491595,0.46097273358293,0.450230432433407,0.623819280646557,0.619064663262355,0.370021316389638,0.485526449386085,0.660089094057363,0.665221802186616,0.643159115119686,0.590857448648052,0.659868329232268
"Triturus_cristatus",0.381853936277587,0.533412707551339,0.43574991986491,0.427612403033141,0.291257448972907,0.523917990933669,0.509545743594123,0.454173186471125,0.348441345648572,0.366010663162245,0.351690387692083,0.253659411473128,0.433987905660378,0.485101362996954,0.243516145926788,0.42369448985548,0.0179742270106594,0.265187362374698,0.4391141221978,0.474350289258962,0.416851540685267,0.508899718119953,0.622844734902118,0.576094844174955,0.463990826506291,0.515382833133602,0.60792326287857,0.541737422479148,0.590344240266385,0.544788619903962,0.566503557821498,0.522644595450952,0.503295244516178,0.491626654017974,0.513768733085395,0.517352453730591,0.506160414681897,0.499575698695359,0.455767062379694,0.501166689644483,0.452312564754315,0.485013969609183,0.489460433648054,0.51331201719245,0.509388556211694,0.431014507509114,0.480051281541143,0.594975375263955,0.435183180721125
"Triturus_marmoratus",0.402525798157975,0.466792624579712,0.437796288989387,0.44898651371679,0.336217675842163,0.409200495091495,0.507524847392115,0.461150211170765,0.401603077783048,0.386002665348261,0.289222989823791,0.310270872246013,0.434023508433664,0.48541484873056,0.333318282995016,0.525541857930946,0.322449592757357,0.0428205117160544,0.536388770566647,0.569620970159895,0.470417943367816,0.521110867060738,0.533209633123667,0.50287955250973,0.503683458107699,0.5238474455879,0.5455484483529,0.494271310172523,0.54806288793555,0.450600863468539,0.588406407057198,0.441786843823095,0.461429319787825,0.438417681568468,0.463592332793335,0.456143857415046,0.348845190145354,0.482862982534389,0.595668298348639,0.540038653122754,0.582676456240116,0.535745634789654,0.434947947372822,0.426543429462135,0.527786960617691,0.392891003416136,0.490253496124204,0.495009246035736,0.526264794303995
"Salamandra_atra",0.481492830185032,0.586772639650902,0.463130482425142,0.48949563849502,0.47579372426796,0.561489247506922,0.459353819502933,0.399400850826576,0.402026884557388,0.485979156773871,0.655014638287268,0.48167893952414,0.433488551295663,0.367885025639245,0.467594663147284,0.413641248889297,0.382994885251174,0.544075683275043,0.0351046929577214,0.447201705471665,0.580378159296222,0.43971107044573,0.662141074448747,0.539864743268632,0.517079699430339,0.578149454040597,0.661990621857474,0.547377480845797,0.535520384494128,0.629054668803729,0.493890436278631,0.464147535475809,0.460058621584506,0.541321396227406,0.504011658922382,0.437660709055887,0.458145829130539,0.540689627879481,0.478058935106359,0.468302547708183,0.461539093666973,0.484435707789508,0.522196964875806,0.570429491926608,0.527478221974918,0.485630740250378,0.525230602926663,0.541330839209495,0.462943443239493
"Coronella_austriaca",0.431607293099821,0.569731922889083,0.407807184034668,0.47043802208862,0.478646878825571,0.566196072875961,0.496482654225325,0.598389410657563,0.525636398238014,0.484448580889892,0.519964770361154,0.52942949302985,0.5204060502233,0.49311333204455,0.554498159050408,0.504374748081808,0.546216157389576,0.564063037851084,0.473361491878763,0.0393829384908157,0.394282126996832,0.287168130804294,0.527328130206174,0.497185334347022,0.38065666223555,0.376867558347574,0.499911734602777,0.449002642071302,0.35795814478149,0.568414593174599,0.240626567322316,0.598092404124954,0.534344283831565,0.503778649568845,0.524489112213391,0.553494150359676,0.548220559460864,0.524849925674964,0.466623801302441,0.476993762848605,0.367850813181166,0.210918060832672,0.377534134005415,0.435355910861507,0.402863066257333,0.539491701766018,0.455026625278394,0.361107793338199,0.256668493864522
"Hierophis_viridiflavus",0.500433343393163,0.554255051829783,0.515136722995395,0.574947428239285,0.537342407005,0.47822338330583,0.566133868573511,0.537902973745915,0.538786197412075,0.546369818119168,0.502275825152141,0.497753471753573,0.585990614903471,0.572733631957174,0.53271165438617,0.574825582255506,0.47739703541287,0.533590105682375,0.570501077803154,0.374993467021943,0.0302969051553232,0.381862464825445,0.502355938985856,0.533041553185151,0.368866181961897,0.434076222523561,0.510963709484733,0.38736094963024,0.467612446831724,0.535341622283449,0.469620646944209,0.596089684879346,0.608237089650225,0.614960148447006,0.550734035533066,0.565402516989881,0.590091535789007,0.53300586388133,0.535950086468521,0.539237022855355,0.439235035399383,0.447897818721898,0.509211943699318,0.451093876938853,0.472210324294809,0.487762890071595,0.428873989309221,0.535026359349607,0.288382115213011
"Zamenis_longissimus",0.421275130338638,0.593438549015514,0.475057948174458,0.356499086202608,0.474841727218108,0.467804798361365,0.451305582345448,0.47917455722607,0.462299168090139,0.462423669487966,0.520596337772157,0.485556917536165,0.551715536332516,0.545579438729292,0.48046640847119,0.624350944448217,0.51302557320101,0.556617700756363,0.415359517521034,0.300479398716055,0.345479210997433,0.0261909605224717,0.546007991043482,0.530432755256848,0.414896061330285,0.459911039202603,0.530170639833789,0.464189805920912,0.294870373328038,0.5754984980647,0.386959786337344,0.556722966423765,0.495520410195331,0.479138320025595,0.477385808822245,0.586941758066663,0.577958868508284,0.60038602036224,0.705680054280067,0.577627491281428,0.403074084657728,0.347307429226321,0.522355864669702,0.498199034521659,0.338353703953453,0.423781058299913,0.387384996321305,0.493100588390237,0.322166149505461
"Algyroides_fitzingeri",0.579804189016394,0.320065367412655,0.442053541467657,0.549951081855616,0.550220049885772,0.496197043493994,0.344321617671197,0.494591549453796,0.570139228683198,0.665391188498972,0.489106104628653,0.654598855437726,0.559347800462426,0.531339584842544,0.601187466693469,0.641135533489132,0.686804149995752,0.585110180174294,0.62035976919553,0.594203768117259,0.526407914912667,0.595093608305025,0.0324440445433797,0.410947099960811,0.553692699393193,0.459566494097149,0.23666418896394,0.467651452262745,0.514880965142134,0.342286148270225,0.466282485175021,0.459581028647449,0.511859593715422,0.511196389249371,0.417860462377506,0.505623364365082,0.547163616314944,0.49941298301389,0.517652431269006,0.421591181772807,0.556809670460123,0.533225606803527,0.549770951428652,0.53309642134393,0.50426859457541,0.552282296262719,0.45089290023161,0.419020125918423,0.612622051956258
"Archaeolacerta_bedriagae",0.529559150359483,0.418325734565079,0.491171503739793,0.57877485005604,0.522529606719958,0.520955543366254,0.495861274140939,0.577355259046772,0.549581556338225,0.545227612730996,0.539855070059234,0.508486033701645,0.342047042216511,0.297767459349552,0.557757666150289,0.352216182562474,0.551066035754822,0.512922277035147,0.504961408074856,0.49573655992548,0.512439507786669,0.520653440452071,0.372616105904983,0.038442277134389,0.525255068048458,0.463541230217559,0.351620867046587,0.508000700954023,0.573873027190262,0.37655103317078,0.424021099353805,0.302167129142303,0.559543305580631,0.551740767978635,0.275900803801309,0.267001241701878,0.346410742719102,0.33517381811674,0.356869625214972,0.348839888448028,0.502450549324771,0.516878210314966,0.332610324122536,0.29636725464537,0.555786962716659,0.495517877740557,0.500807899502688,0.38353868286655,0.575671437308037
"Lacerta_bilineata",0.406405705877822,0.453464866890202,0.417538582523344,0.477143210790291,0.45069151926014,0.405203534690308,0.492606321847241,0.433271485289099,0.493082679557498,0.462275663573012,0.42346026472825,0.401398566726068,0.452237306744982,0.402965006938249,0.468929727320382,0.468034049324394,0.394194099580213,0.397802733530032,0.436374240031256,0.400286687060136,0.314114535491457,0.456294095756118,0.455993011545643,0.442715876247834,0.0206394007050474,0.372863342217341,0.445603573362672,0.285072409530734,0.461853109670923,0.409428603781131,0.436597620918055,0.447219214656719,0.486619053781498,0.499582421556494,0.397307675094538,0.442077868305185,0.45098045438901,0.426141922176834,0.407866154475719,0.392784423926899,0.38441708501519,0.457524799210013,0.486906915068377,0.40115693031735,0.346304905059353,0.457611093429619,0.350288267394604,0.426215572101743,0.341025907374293
"Podarcis_muralis",0.326776590840776,0.43534002347272,0.367105153780052,0.392396123338853,0.389671465389685,0.403172149803445,0.425524999658814,0.495373163042521,0.432092780403002,0.465069728435093,0.334572089616032,0.399816363175635,0.492507459858223,0.475033455875917,0.417429290599374,0.432918886463209,0.458099928545173,0.429785350130581,0.461749433411081,0.408637310397104,0.329907783950514,0.436680824687111,0.38862419758475,0.37109424687449,0.350482396453347,0.0446163855867623,0.372144239549385,0.381481121407423,0.405838230006357,0.396372926374727,0.45527921106179,0.485402867469643,0.48926815821096,0.48453063338315,0.424118348326557,0.44715420777341,0.484560507559053,0.419465700813067,0.417211783839952,0.40264146842473,0.372596237658813,0.42154396634255,0.476893713924787,0.453270103799878,0.435305640830771,0.392678767907414,0.419268571019809,0.327970041450822,0.407548420345921
"Podarcis_tiliguerta",0.57142757225923,0.32788220557883,0.456080661002614,0.549662571258707,0.542778436475899,0.486259297610303,0.424102743091501,0.504163828213803,0.567002975564254,0.634995527717254,0.493002449495525,0.608743281286228,0.513540327425428,0.46289392430495,0.61865128308892,0.521887140893739,0.655800902310611,0.562371262803802,0.613148467507296,0.534219664248285,0.468730565321789,0.557328944588318,0.237077357989082,0.385914097420968,0.515070175921844,0.461321448436645,0.0377549933945119,0.471954561982742,0.438709884065204,0.311294256102897,0.471979469375454,0.36929777368036,0.482425969574099,0.494843881371879,0.33873035777835,0.382734174593418,0.473075146848401,0.460377905651055,0.403714486370183,0.407100425497228,0.515305123045624,0.519239530747404,0.471096661862078,0.475979076682952,0.494583069110872,0.478949626480043,0.422771467327523,0.383747379977803,0.580374584642135
"Timon_lepidus",0.497281288420082,0.416944952723412,0.495984866367893,0.528235276982912,0.51686177243378,0.363722459510168,0.402518740934389,0.464446694267827,0.536872125917225,0.445937970587852,0.507608349986182,0.481365832470395,0.594486434863652,0.496909263364757,0.480720317104104,0.538455962488958,0.523681751955998,0.458721265857654,0.529490618440733,0.408199927962157,0.304784811826339,0.425234017014618,0.387802582981217,0.46064776409793,0.273315435372242,0.414576425631166,0.402127115859583,0.0213373499474097,0.421220314719587,0.380906776490284,0.484443123752059,0.458144297890385,0.499274642561634,0.519476844234241,0.417528671009164,0.463923088414331,0.489590762982592,0.55286515555809,0.529759786238495,0.475835386708023,0.407533435595682,0.437061454171741,0.525018220209322,0.445914303360704,0.410365499879056,0.383504448420003,0.314580407257639,0.481982870985343,0.433045477536968
"Natrix_maura",0.538411446425283,0.560242533671965,0.599149172052462,0.505016880400558,0.61576467611121,0.409254129461164,0.43703913214582,0.493935933666079,0.54870584580638,0.535596916287277,0.568560623155935,0.624836915772084,0.676739216133148,0.629337698253914,0.55392773181629,0.674815429484206,0.618121153577522,0.624981808192455,0.554535579080095,0.437168619336424,0.443565409587856,0.362712399553434,0.513159062095524,0.615810419913142,0.480230724469867,0.467193604407611,0.488082502806995,0.449927591940972,0.0178742379620883,0.519138274343406,0.453162785507277,0.545907804240323,0.41458244500521,0.380341568441027,0.571745623353536,0.58992050359806,0.593187811443416,0.675247335906073,0.619339943135997,0.647121455352098,0.543997346421571,0.371338538036913,0.484150277196774,0.615553082730841,0.367649939540084,0.378952279689282,0.495830856332873,0.547311186249614,0.388662616217246
